Angle,P(v15),aG_2_x,aG_2_y,aG_4_x,aG_4_y,alp_2,alp_4,F_24_x,F_24_y,F_32,F_42_x,F_42_y,T_13,L_AB
0,40.0,-2.096678390486291,0.834893390702217,-4.455735579356215,0.8348933907022169,19.499430791852514,22.57297160920787,47.365317845515214,314.2867161058768,403.13782141581794,47.365317845515214,314.2867161058768,9.518515573368314,70
1,40.0,-2.0602450753652373,0.7956481495477212,-4.341928921319056,0.7956481495477212,19.06514675667023,21.104568202469885,47.146381167640214,294.86207699490757,384.0313839222679,47.146381167640214,294.86207699490757,9.317381558254372,70
2,40.0,-2.0245154086208137,0.7569413989841445,-4.230950700151107,0.7569413989841444,18.639269311420385,19.67274042710311,46.9332490148603,276.0065928012152,365.67163845676214,46.9332490148603,276.0065928012152,9.107103092362443,70
3,40.0,-1.9894639955786655,0.7187774500434001,-4.12275513092086,0.7187774500434001,18.22163384170483,18.277429020628414,46.72585263526055,257.71637921802954,348.04141028129203,46.72585263526055,257.71637921802954,8.889107276518768,70
4,40.0,-1.9550660986604456,0.6811597156066375,-4.017292993962339,0.6811597156066375,17.812075032974494,16.918471465910343,46.52411350731705,239.9859466005869,331.12256953586774,46.52411350731705,239.9859466005869,8.664719761154071,70
5,40.0,-1.9212976385499536,0.6440907829924677,-3.914512074462273,0.6440907829924678,17.410427241673254,15.595612744001588,46.32794443676576,222.8083924343332,314.8962241669914,46.32794443676576,222.8083924343332,8.43516803724735,70
6,40.0,-1.8881351930227188,0.6075724819134968,-3.814357575990173,0.6075724819134969,17.01652483083693,14.308515501551199,46.13725059253454,206.17558169775745,299.3428955981907,46.13725059253454,206.17558169775745,8.201585103959209,70
7,40.0,-1.855555993716209,0.5716059480467237,-3.716772507716345,0.5716059480467235,16.630202472774002,13.056769620178072,45.95193048060169,190.07831500323118,284.4426777549182,45.95193048060169,190.07831500323118,7.96501342315519,70
8,40.0,-1.823537921092696,0.5361916824551204,-3.621698045365254,0.5361916824551204,16.251295421288116,11.839901183353161,45.77187685544629,174.50648456261078,270.1753801674613,45.77187685544629,174.50648456261078,7.726409080938786,70
9,40.0,-1.792059497823612,0.5013296070890958,-3.529073866209959,0.5013296070890958,15.879639755743913,10.657380843304832,45.5969775694424,159.4492181609875,256.52065595808017,45.5969775694424,159.4492181609875,7.486646085840199,70
10,40.0,-1.7610998808028875,0.4670191165877033,-3.438838458630249,0.4670191165877031,15.51507259912772,9.508631596340086,45.42711636113042,144.89501143404394,243.4581155759461,45.42711636113042,144.89501143404394,7.246520742333158,70
11,40.0,-1.730638851977043,0.43325912659045623,-3.3509294069355686,0.43325912659045623,15.157432312111496,8.39303597984485,45.26217358378024,130.83184883426316,230.9674271789865,45.26217358378024,130.83184883426316,7.006756046801542,70
12,40.0,-1.7006568081617994,0.40004811876161017,-3.265283652297849,0.40004811876161006,14.80655866499453,7.3099427081832875,45.10202687605339,117.2473137411472,219.02840457873694,45.10202687605339,117.2473137411472,6.768006060903149,70
13,40.0,-1.6711347499982854,0.3673841827197263,-3.1818377307514947,0.3673841827197262,14.462292989269152,6.258672767844234,44.94655177688182,104.12868822284855,207.62108366568893,44.94655177688182,104.12868822284855,6.530860224451974,70
14,40.0,-1.6420542701868044,0.3352650550564474,-3.100527989302441,0.3352650550564474,14.124478310437663,5.238524994580905,44.79562228691986,91.46304299352799,196.72578822121875,44.79562228691986,91.46304299352799,6.295847576457052,70
15,40.0,-1.613397541122106,0.30368815561959434,-3.021290781247768,0.30368815561959434,13.79295946359398,4.248781157037216,44.64911137909963,79.23731813434284,186.32318600039912,44.64911137909963,79.23731813434284,6.063440858821908,70
16,40.0,-1.5851473020413884,0.2726506212271033,-2.9440626418457123,0.27265062122710326,13.46758319317756,3.288710572540465,44.506891460939784,67.43839515827857,176.39433594007423,44.506891460939784,67.43839515827857,5.834060482443691,70
